# day,hour,Isop_obs,Isop_mod,Tem(Celcius),PPFD(umol/m2/s),LAI,Swc_10cm
209.000, 19.500,    nan,  0.000, 31.996, 24.874,  1.112,  0.212
209.000, 20.000,    nan,  0.000, 30.545,  0.088,  2.704,  0.212
209.000, 20.500,    nan,  0.000, 31.084,  0.156,  1.927,  0.212
209.000, 21.000,    nan,  0.000, 28.854,  0.091,  0.848,  0.211
209.000, 21.500,    nan,  0.000, 28.715,  0.085,  1.564,  0.212
209.000, 22.000,  0.028,  0.000, 27.291,  0.098,  1.696,  0.211
209.000, 22.500,  0.036,  0.000, 28.104,  0.092,  1.324,  0.211
209.000, 23.000,    nan,    nan,    nan,    nan,    nan,    nan
209.000, 23.500,  0.019,    nan, 26.557,  0.099,  1.585,  0.211
210.000,  0.000,  0.022,  0.000, 25.329,  0.101,  1.560,  0.210
210.000,  0.500,  0.014,  0.000, 25.794,  0.098,  1.456,  0.210
210.000,  1.000,  0.018,  0.000, 24.238,  0.101,  1.811,  0.210
210.000,  1.500,  0.021,  0.000, 24.604,  0.102,  1.673,  0.210
210.000,  2.000,    nan,  0.000, 23.051,  0.097,  1.973,  0.210
210.000,  2.500,    nan,  0.000, 23.011,  0.097,  1.873,  0.210
210.000,  3.000,    nan,  0.000, 22.446,  0.099,  1.803,  0.209
210.000,  3.500,    nan,  0.000, 22.983,  0.101,  1.668,  0.209
210.000,  4.000,    nan,  0.000, 22.334,  1.007,  1.725,  0.209
210.000,  4.500,    nan,  0.000, 22.265,  0.104,  1.821,  0.209
210.000,  5.000,    nan,  0.266, 21.882,129.948,  1.502,  0.208
210.000,  5.500,    nan,  0.110, 22.388, 24.812,  1.497,  0.209
210.000,  6.000,  1.195,  1.130, 22.450,504.822,  1.175,  0.208
210.000,  6.500,    nan,  1.009, 21.309,307.734,  1.140,  0.208
210.000,  7.000,  2.092,  2.590, 25.547,908.884,  1.626,  0.208
210.000,  7.500,  1.396,  2.435, 24.085,708.204,  1.465,  0.208
210.000,  8.000,    nan,    nan,    nan,    nan,    nan,    nan
210.000,  8.500,  2.358,    nan, 26.852,1107.710,  1.302,  0.208
210.000,  9.000,  4.138,  5.511, 29.555,1626.980,  1.404,  0.208
210.000,  9.500,    nan,    nan,    nan,    nan,    nan,    nan
210.000, 10.000,    nan,    nan,    nan,    nan,    nan,    nan
210.000, 10.500,  4.026,    nan, 30.492,1543.130,  1.027,  0.208
210.000, 11.000,  1.948,  7.843, 32.516,1946.960,  0.989,  0.210
210.000, 11.500,  3.190,  7.048, 31.473,1893.560,  0.974,  0.209
210.000, 12.000,    nan,    nan,    nan,    nan,    nan,    nan
210.000, 12.500,  3.313,    nan, 33.040,1945.850,  0.760,  0.210
210.000, 13.000,    nan,    nan,    nan,    nan,    nan,    nan
210.000, 13.500,    nan,    nan,    nan,    nan,    nan,    nan
210.000, 14.000,  3.397,    nan, 34.751,1411.430,  1.813,  0.211
210.000, 14.500,  2.380,  6.174, 34.500,961.524,  1.517,  0.211
210.000, 15.000,  3.839,  6.432, 34.670,842.185,  2.596,  0.211
210.000, 15.500,  5.210,  6.936, 34.521,1492.380,  2.410,  0.211
210.000, 16.000,  3.928,  4.486, 34.157,497.655,  2.799,  0.211
210.000, 16.500,  4.275,  5.237, 34.129,601.172,  3.519,  0.211
210.000, 17.000,  2.701,  3.156, 34.078,252.671,  3.138,  0.211
210.000, 17.500,  5.260,  4.135, 34.190,428.815,  2.836,  0.211
210.000, 18.000,  1.381,  1.338, 33.531, 91.365,  3.684,  0.211
210.000, 18.500,  2.624,  1.900, 33.835,138.743,  2.930,  0.211
210.000, 19.000,  0.129,  0.027, 31.765,  2.138,  2.834,  0.211
210.000, 19.500,  0.480,  0.000, 32.737, 24.413,  3.320,  0.211
210.000, 20.000,  0.145,  0.000, 29.908,  0.068,  3.088,  0.211
210.000, 20.500, -0.077,  0.000, 30.933,  0.117,  3.035,  0.211
210.000, 21.000,  0.078,  0.000, 28.687,  0.080,  2.631,  0.211
210.000, 21.500,    nan,  0.000, 29.205,  0.074,  3.005,  0.211
210.000, 22.000, -0.030,  0.000, 27.800,  0.084,  2.692,  0.210
210.000, 22.500,    nan,  0.000, 27.852,  0.080,  2.422,  0.210
210.000, 23.000,  0.038,  0.000, 27.203,  0.092,  2.945,  0.210
210.000, 23.500,  0.039,  0.000, 27.393,  0.087,  2.621,  0.210
