# day,hour,isoprene,MBO,pinenes,ocimenes,carene,limonene,cymene,camphor,b-caryophyllene,longifolene,methanol,acetone,acetaldehyde and ethanol,formic acid; acetic acid; pyruvic acid,ethene; ethane,methacrolein,linalool,other VOC,CO
206.000, 13.000, 76.593,  0.000,  2.066,  0.662,  0.376,  0.789,  0.758,  0.470,  0.075,  0.327,  7.277,  1.128,  1.358,  0.905,  3.761,  0.063,  0.072,  1.128,  0.022
206.000, 13.500, 83.601,  0.000,  2.252,  0.712,  0.418,  0.869,  0.826,  0.523,  0.088,  0.383,  7.610,  1.254,  1.500,  1.000,  4.181,  0.070,  0.078,  1.254,  0.023
206.000, 14.000, 77.609,  0.000,  2.103,  0.668,  0.388,  0.808,  0.771,  0.484,  0.079,  0.341,  7.276,  1.162,  1.385,  0.923,  3.875,  0.065,  0.073,  1.162,  0.022
206.000, 14.500, 73.778,  0.000,  2.027,  0.639,  0.378,  0.783,  0.743,  0.472,  0.075,  0.325,  6.977,  1.133,  1.323,  0.882,  3.777,  0.063,  0.070,  1.133,  0.021
206.000, 15.000, 73.180,  0.000,  2.022,  0.633,  0.381,  0.786,  0.741,  0.476,  0.076,  0.329,  6.850,  1.143,  1.320,  0.880,  3.811,  0.064,  0.069,  1.143,  0.021
206.000, 15.500, 69.193,  0.000,  1.958,  0.600,  0.380,  0.772,  0.718,  0.476,  0.075,  0.324,  6.425,  1.141,  1.267,  0.845,  3.804,  0.063,  0.066,  1.141,  0.019
206.000, 16.000, 64.035,  0.000,  1.847,  0.561,  0.364,  0.733,  0.677,  0.454,  0.069,  0.299,  6.042,  1.091,  1.180,  0.787,  3.635,  0.061,  0.062,  1.091,  0.018
206.000, 16.500, 62.133,  0.000,  1.864,  0.545,  0.386,  0.759,  0.684,  0.482,  0.074,  0.320,  5.697,  1.157,  1.182,  0.788,  3.857,  0.064,  0.061,  1.157,  0.017
206.000, 17.000, 25.638,  0.000,  1.159,  0.255,  0.314,  0.546,  0.425,  0.393,  0.047,  0.202,  2.387,  0.943,  0.622,  0.415,  3.142,  0.052,  0.032,  0.943,  0.007
206.000, 17.500, 47.960,  0.000,  1.567,  0.433,  0.347,  0.660,  0.575,  0.434,  0.061,  0.263,  4.480,  1.041,  0.951,  0.634,  3.470,  0.058,  0.049,  1.041,  0.013
206.000, 18.000, 11.810,  0.000,  0.883,  0.144,  0.284,  0.461,  0.324,  0.355,  0.036,  0.157,  1.104,  0.853,  0.408,  0.272,  2.842,  0.047,  0.020,  0.853,  0.003
206.000, 18.500, 17.775,  0.000,  1.014,  0.192,  0.302,  0.505,  0.372,  0.378,  0.042,  0.181,  1.646,  0.906,  0.506,  0.337,  3.020,  0.050,  0.026,  0.906,  0.005
206.000, 19.000,  0.450,  0.000,  0.622,  0.050,  0.246,  0.371,  0.228,  0.308,  0.025,  0.109,  0.044,  0.739,  0.216,  0.144,  2.463,  0.041,  0.011,  0.739,  0.000
206.000, 19.500,  0.000,  0.000,  0.640,  0.048,  0.256,  0.384,  0.235,  0.320,  0.027,  0.116,  0.000,  0.768,  0.221,  0.148,  2.560,  0.043,  0.011,  0.768,  0.000
206.000, 20.000,  0.000,  0.000,  0.571,  0.043,  0.228,  0.343,  0.209,  0.286,  0.022,  0.095,  0.000,  0.685,  0.190,  0.127,  2.284,  0.038,  0.010,  0.685,  0.000
206.000, 20.500,  0.000,  0.000,  0.591,  0.044,  0.236,  0.355,  0.217,  0.296,  0.023,  0.101,  0.000,  0.709,  0.199,  0.133,  2.365,  0.039,  0.010,  0.709,  0.000
206.000, 21.000,  0.000,  0.000,  0.536,  0.040,  0.214,  0.321,  0.196,  0.268,  0.020,  0.085,  0.000,  0.643,  0.175,  0.117,  2.143,  0.036,  0.009,  0.643,  0.000
206.000, 21.500,  0.000,  0.000,  0.560,  0.042,  0.224,  0.336,  0.205,  0.280,  0.021,  0.092,  0.000,  0.672,  0.185,  0.124,  2.238,  0.037,  0.009,  0.672,  0.000
206.000, 22.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan
206.000, 22.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan
206.000, 23.000,  0.000,  0.000,  0.469,  0.035,  0.188,  0.282,  0.172,  0.235,  0.016,  0.068,  0.000,  0.563,  0.147,  0.098,  1.877,  0.031,  0.008,  0.563,  0.000
206.000, 23.500,  0.000,  0.000,  0.483,  0.036,  0.193,  0.290,  0.177,  0.242,  0.016,  0.071,  0.000,  0.580,  0.153,  0.102,  1.933,  0.032,  0.008,  0.580,  0.000
207.000,  0.000,  0.000,  0.000,  0.426,  0.032,  0.170,  0.255,  0.156,  0.213,  0.013,  0.057,  0.000,  0.511,  0.130,  0.086,  1.702,  0.028,  0.007,  0.511,  0.000
207.000,  0.500,  0.000,  0.000,  0.442,  0.033,  0.177,  0.265,  0.162,  0.221,  0.014,  0.061,  0.000,  0.530,  0.136,  0.091,  1.767,  0.029,  0.007,  0.530,  0.000
207.000,  1.000,  0.000,  0.000,  0.437,  0.033,  0.175,  0.262,  0.160,  0.218,  0.014,  0.060,  0.000,  0.524,  0.134,  0.089,  1.747,  0.029,  0.007,  0.524,  0.000
207.000,  1.500,  0.000,  0.000,  0.425,  0.032,  0.170,  0.255,  0.156,  0.213,  0.013,  0.057,  0.000,  0.510,  0.130,  0.086,  1.701,  0.028,  0.007,  0.510,  0.000
207.000,  2.000,  0.000,  0.000,  0.429,  0.032,  0.172,  0.257,  0.157,  0.214,  0.013,  0.058,  0.000,  0.515,  0.131,  0.087,  1.715,  0.029,  0.007,  0.515,  0.000
207.000,  2.500,  0.000,  0.000,  0.432,  0.032,  0.173,  0.259,  0.158,  0.216,  0.014,  0.059,  0.000,  0.518,  0.132,  0.088,  1.727,  0.029,  0.007,  0.518,  0.000
207.000,  3.000,  0.000,  0.000,  0.411,  0.031,  0.164,  0.247,  0.151,  0.206,  0.012,  0.054,  0.000,  0.493,  0.124,  0.083,  1.644,  0.027,  0.007,  0.493,  0.000
207.000,  3.500,  0.000,  0.000,  0.417,  0.031,  0.167,  0.250,  0.153,  0.208,  0.013,  0.055,  0.000,  0.500,  0.126,  0.084,  1.667,  0.028,  0.007,  0.500,  0.000
207.000,  4.000,  0.000,  0.000,  0.398,  0.030,  0.159,  0.239,  0.146,  0.199,  0.012,  0.051,  0.000,  0.478,  0.119,  0.079,  1.593,  0.027,  0.007,  0.478,  0.000
207.000,  4.500,  0.000,  0.000,  0.403,  0.030,  0.161,  0.242,  0.148,  0.202,  0.012,  0.052,  0.000,  0.484,  0.121,  0.081,  1.612,  0.027,  0.007,  0.484,  0.000
207.000,  5.000,  5.398,  0.000,  0.490,  0.076,  0.161,  0.259,  0.180,  0.201,  0.014,  0.059,  0.656,  0.482,  0.191,  0.128,  1.608,  0.027,  0.011,  0.482,  0.002
207.000,  5.500,  2.040,  0.000,  0.427,  0.047,  0.158,  0.243,  0.157,  0.197,  0.012,  0.053,  0.249,  0.473,  0.144,  0.096,  1.576,  0.026,  0.008,  0.473,  0.001
207.000,  6.000, 19.553,  0.000,  0.814,  0.202,  0.200,  0.363,  0.298,  0.251,  0.023,  0.100,  2.265,  0.601,  0.416,  0.278,  2.004,  0.033,  0.024,  0.601,  0.007
207.000,  6.500, 18.785,  0.000,  0.766,  0.196,  0.184,  0.337,  0.281,  0.229,  0.020,  0.087,  2.301,  0.551,  0.389,  0.259,  1.835,  0.031,  0.023,  0.551,  0.007
207.000,  7.000, 36.178,  0.000,  1.207,  0.343,  0.259,  0.500,  0.443,  0.323,  0.038,  0.164,  3.897,  0.776,  0.695,  0.464,  2.586,  0.043,  0.039,  0.776,  0.012
207.000,  7.500, 36.629,  0.000,  1.168,  0.350,  0.234,  0.468,  0.428,  0.293,  0.033,  0.143,  4.192,  0.703,  0.675,  0.450,  2.342,  0.039,  0.039,  0.703,  0.013
207.000,  8.000, 51.428,  0.000,  1.541,  0.467,  0.305,  0.613,  0.565,  0.381,  0.051,  0.223,  5.266,  0.913,  0.946,  0.630,  3.045,  0.051,  0.052,  0.913,  0.016
207.000,  8.500, 51.671,  0.000,  1.518,  0.471,  0.290,  0.593,  0.557,  0.362,  0.048,  0.209,  5.456,  0.869,  0.932,  0.621,  2.897,  0.048,  0.052,  0.869,  0.016
207.000,  9.000, 65.994,  0.000,  1.854,  0.581,  0.349,  0.720,  0.680,  0.437,  0.066,  0.285,  6.442,  1.048,  1.188,  0.792,  3.492,  0.058,  0.064,  1.048,  0.019
207.000,  9.500, 63.432,  0.000,  1.778,  0.563,  0.329,  0.685,  0.652,  0.412,  0.060,  0.261,  6.374,  0.988,  1.131,  0.754,  3.293,  0.055,  0.061,  0.988,  0.019
207.000, 10.000, 75.115,  0.000,  2.042,  0.651,  0.375,  0.783,  0.749,  0.468,  0.075,  0.324,  7.164,  1.124,  1.337,  0.891,  3.745,  0.062,  0.071,  1.124,  0.021
207.000, 10.500, 73.022,  0.000,  1.986,  0.636,  0.361,  0.759,  0.728,  0.452,  0.071,  0.306,  7.080,  1.084,  1.294,  0.862,  3.614,  0.060,  0.069,  1.084,  0.021
207.000, 11.000, 78.430,  0.000,  2.106,  0.677,  0.381,  0.803,  0.772,  0.477,  0.077,  0.334,  7.453,  1.144,  1.388,  0.925,  3.812,  0.064,  0.074,  1.144,  0.022
207.000, 11.500, 78.282,  0.000,  2.101,  0.677,  0.379,  0.799,  0.770,  0.474,  0.076,  0.331,  7.480,  1.137,  1.383,  0.922,  3.789,  0.063,  0.073,  1.137,  0.022
207.000, 12.000, 81.803,  0.000,  2.176,  0.702,  0.392,  0.827,  0.798,  0.489,  0.081,  0.351,  7.687,  1.174,  1.444,  0.963,  3.915,  0.065,  0.076,  1.174,  0.023
207.000, 12.500, 86.384,  0.000,  2.290,  0.736,  0.414,  0.872,  0.840,  0.518,  0.088,  0.381,  7.957,  1.243,  1.532,  1.021,  4.144,  0.069,  0.080,  1.243,  0.024
207.000, 13.000, 84.375,  0.000,  2.243,  0.721,  0.406,  0.855,  0.822,  0.508,  0.085,  0.370,  7.819,  1.218,  1.496,  0.997,  4.060,  0.068,  0.078,  1.218,  0.023
207.000, 13.500, 82.863,  0.000,  2.213,  0.709,  0.403,  0.846,  0.812,  0.504,  0.084,  0.365,  7.684,  1.209,  1.472,  0.982,  4.030,  0.067,  0.077,  1.209,  0.023
207.000, 14.000, 83.557,  0.000,  2.241,  0.714,  0.412,  0.860,  0.822,  0.515,  0.087,  0.375,  7.691,  1.235,  1.492,  0.995,  4.116,  0.069,  0.078,  1.235,  0.023
207.000, 14.500, 81.989,  0.000,  2.216,  0.700,  0.412,  0.855,  0.813,  0.515,  0.086,  0.374,  7.510,  1.235,  1.472,  0.981,  4.116,  0.069,  0.077,  1.235,  0.023
207.000, 15.000, 77.679,  0.000,  2.119,  0.668,  0.395,  0.819,  0.777,  0.494,  0.081,  0.350,  7.217,  1.186,  1.396,  0.930,  3.952,  0.066,  0.073,  1.186,  0.022
207.000, 15.500, 76.669,  0.000,  2.139,  0.658,  0.413,  0.840,  0.784,  0.516,  0.085,  0.368,  6.974,  1.238,  1.404,  0.936,  4.127,  0.069,  0.073,  1.238,  0.021
207.000, 16.000, 64.542,  0.000,  1.852,  0.565,  0.362,  0.732,  0.679,  0.452,  0.069,  0.298,  6.118,  1.085,  1.184,  0.790,  3.615,  0.060,  0.062,  1.085,  0.018
207.000, 16.500, 62.937,  0.000,  1.850,  0.552,  0.373,  0.743,  0.678,  0.466,  0.071,  0.308,  5.867,  1.118,  1.177,  0.785,  3.727,  0.062,  0.061,  1.118,  0.018
207.000, 17.000, 26.541,  0.000,  1.192,  0.263,  0.323,  0.561,  0.437,  0.404,  0.049,  0.213,  2.439,  0.969,  0.645,  0.430,  3.228,  0.054,  0.033,  0.969,  0.007
207.000, 17.500, 50.253,  0.000,  1.607,  0.450,  0.350,  0.671,  0.589,  0.437,  0.062,  0.270,  4.683,  1.050,  0.985,  0.657,  3.499,  0.058,  0.051,  1.050,  0.014
207.000, 18.000, 12.353,  0.000,  0.913,  0.149,  0.293,  0.476,  0.335,  0.367,  0.038,  0.166,  1.147,  0.880,  0.426,  0.284,  2.933,  0.049,  0.021,  0.880,  0.003
207.000, 18.500, 17.991,  0.000,  1.037,  0.195,  0.310,  0.518,  0.380,  0.388,  0.044,  0.190,  1.650,  0.931,  0.519,  0.346,  3.104,  0.052,  0.026,  0.931,  0.005
207.000, 19.000,  0.380,  0.000,  0.636,  0.050,  0.252,  0.379,  0.233,  0.315,  0.026,  0.114,  0.037,  0.756,  0.222,  0.148,  2.521,  0.042,  0.011,  0.756,  0.000
207.000, 19.500,  0.000,  0.000,  0.657,  0.049,  0.263,  0.394,  0.241,  0.329,  0.028,  0.122,  0.000,  0.789,  0.229,  0.153,  2.629,  0.044,  0.011,  0.789,  0.000
207.000, 20.000,  0.000,  0.000,  0.569,  0.043,  0.228,  0.341,  0.209,  0.285,  0.022,  0.095,  0.000,  0.683,  0.190,  0.127,  2.276,  0.038,  0.009,  0.683,  0.000
207.000, 20.500,  0.000,  0.000,  0.598,  0.045,  0.239,  0.359,  0.219,  0.299,  0.024,  0.104,  0.000,  0.718,  0.203,  0.135,  2.392,  0.040,  0.010,  0.718,  0.000
207.000, 21.000,  0.000,  0.000,  0.519,  0.039,  0.208,  0.312,  0.190,  0.260,  0.019,  0.081,  0.000,  0.623,  0.168,  0.112,  2.077,  0.035,  0.009,  0.623,  0.000
207.000, 21.500,  0.000,  0.000,  0.544,  0.041,  0.218,  0.326,  0.199,  0.272,  0.020,  0.088,  0.000,  0.653,  0.179,  0.119,  2.176,  0.036,  0.009,  0.653,  0.000
207.000, 22.000,  0.000,  0.000,  0.508,  0.038,  0.203,  0.305,  0.186,  0.254,  0.018,  0.078,  0.000,  0.610,  0.164,  0.109,  2.032,  0.034,  0.008,  0.610,  0.000
207.000, 22.500,  0.000,  0.000,  0.508,  0.038,  0.203,  0.305,  0.186,  0.254,  0.018,  0.078,  0.000,  0.609,  0.164,  0.109,  2.031,  0.034,  0.008,  0.609,  0.000
207.000, 23.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan
207.000, 23.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan
208.000,  0.000,  0.000,  0.000,  0.469,  0.035,  0.187,  0.281,  0.172,  0.234,  0.016,  0.068,  0.000,  0.562,  0.147,  0.098,  1.874,  0.031,  0.008,  0.562,  0.000
208.000,  0.500,  0.000,  0.000,  0.476,  0.036,  0.190,  0.286,  0.175,  0.238,  0.016,  0.070,  0.000,  0.571,  0.150,  0.100,  1.904,  0.032,  0.008,  0.571,  0.000
208.000,  1.000,  0.000,  0.000,  0.464,  0.035,  0.185,  0.278,  0.170,  0.232,  0.015,  0.067,  0.000,  0.556,  0.145,  0.097,  1.854,  0.031,  0.008,  0.556,  0.000
208.000,  1.500,  0.000,  0.000,  0.469,  0.035,  0.188,  0.281,  0.172,  0.234,  0.016,  0.068,  0.000,  0.563,  0.147,  0.098,  1.875,  0.031,  0.008,  0.563,  0.000
208.000,  2.000,  0.000,  0.000,  0.410,  0.031,  0.164,  0.246,  0.150,  0.205,  0.012,  0.054,  0.000,  0.492,  0.124,  0.083,  1.641,  0.027,  0.007,  0.492,  0.000
208.000,  2.500,  0.000,  0.000,  0.473,  0.035,  0.189,  0.284,  0.173,  0.236,  0.016,  0.069,  0.000,  0.567,  0.149,  0.099,  1.891,  0.032,  0.008,  0.567,  0.000
208.000,  3.000,  0.000,  0.000,  0.315,  0.024,  0.126,  0.189,  0.115,  0.157,  0.008,  0.034,  0.000,  0.377,  0.088,  0.058,  1.258,  0.021,  0.005,  0.377,  0.000
208.000,  3.500,  0.000,  0.000,  0.346,  0.026,  0.138,  0.207,  0.127,  0.173,  0.009,  0.040,  0.000,  0.415,  0.099,  0.066,  1.383,  0.023,  0.006,  0.415,  0.000
208.000,  4.000,  0.000,  0.000,  0.267,  0.020,  0.107,  0.160,  0.098,  0.133,  0.006,  0.026,  0.000,  0.320,  0.071,  0.047,  1.068,  0.018,  0.004,  0.320,  0.000
208.000,  4.500,  0.000,  0.000,  0.298,  0.022,  0.119,  0.179,  0.109,  0.149,  0.007,  0.031,  0.000,  0.358,  0.082,  0.054,  1.192,  0.020,  0.005,  0.358,  0.000
208.000,  5.000,  0.111,  0.000,  0.251,  0.020,  0.100,  0.150,  0.092,  0.125,  0.005,  0.023,  0.017,  0.299,  0.066,  0.044,  0.998,  0.017,  0.004,  0.299,  0.000
208.000,  5.500,  0.023,  0.000,  0.247,  0.019,  0.099,  0.148,  0.091,  0.123,  0.005,  0.023,  0.004,  0.296,  0.064,  0.043,  0.988,  0.016,  0.004,  0.296,  0.000
208.000,  6.000,  0.658,  0.000,  0.269,  0.026,  0.103,  0.157,  0.099,  0.129,  0.006,  0.025,  0.100,  0.309,  0.076,  0.051,  1.029,  0.017,  0.005,  0.309,  0.000
208.000,  6.500,  0.740,  0.000,  0.274,  0.027,  0.104,  0.159,  0.100,  0.130,  0.006,  0.026,  0.112,  0.313,  0.078,  0.052,  1.042,  0.017,  0.005,  0.313,  0.000
208.000,  7.000,  9.028,  0.000,  0.473,  0.107,  0.126,  0.220,  0.173,  0.157,  0.010,  0.043,  1.319,  0.376,  0.206,  0.137,  1.255,  0.021,  0.013,  0.376,  0.004
208.000,  7.500,  3.653,  0.000,  0.340,  0.055,  0.110,  0.178,  0.125,  0.138,  0.007,  0.031,  0.551,  0.330,  0.122,  0.081,  1.100,  0.018,  0.008,  0.330,  0.002
208.000,  8.000, 20.424,  0.000,  0.763,  0.213,  0.167,  0.320,  0.280,  0.209,  0.018,  0.078,  2.696,  0.501,  0.394,  0.263,  1.670,  0.028,  0.024,  0.501,  0.008
208.000,  8.500, 13.276,  0.000,  0.579,  0.147,  0.139,  0.255,  0.212,  0.174,  0.013,  0.054,  1.875,  0.418,  0.274,  0.183,  1.393,  0.023,  0.017,  0.418,  0.006
208.000,  9.000, 29.268,  0.000,  1.001,  0.289,  0.211,  0.411,  0.367,  0.263,  0.027,  0.117,  3.513,  0.632,  0.554,  0.369,  2.105,  0.035,  0.033,  0.632,  0.011
208.000,  9.500, 27.799,  0.000,  0.949,  0.277,  0.196,  0.386,  0.348,  0.245,  0.024,  0.105,  3.456,  0.589,  0.520,  0.347,  1.963,  0.033,  0.031,  0.589,  0.010
208.000, 10.000, 39.148,  0.000,  1.259,  0.370,  0.258,  0.510,  0.462,  0.323,  0.038,  0.166,  4.323,  0.775,  0.734,  0.489,  2.584,  0.043,  0.041,  0.775,  0.013
208.000, 10.500, 36.094,  0.000,  1.167,  0.346,  0.237,  0.471,  0.428,  0.296,  0.033,  0.145,  4.143,  0.711,  0.671,  0.447,  2.371,  0.040,  0.039,  0.711,  0.012
208.000, 11.000, 31.261,  0.000,  1.097,  0.304,  0.241,  0.461,  0.402,  0.302,  0.033,  0.143,  3.520,  0.724,  0.612,  0.408,  2.414,  0.040,  0.035,  0.724,  0.011
208.000, 11.500, 31.326,  0.000,  1.084,  0.305,  0.234,  0.451,  0.397,  0.293,  0.032,  0.137,  3.581,  0.703,  0.605,  0.404,  2.343,  0.039,  0.035,  0.703,  0.011
208.000, 12.000, 17.473,  0.000,  0.830,  0.187,  0.221,  0.387,  0.304,  0.277,  0.026,  0.112,  1.977,  0.664,  0.411,  0.274,  2.214,  0.037,  0.023,  0.664,  0.006
208.000, 12.500, 21.674,  0.000,  0.911,  0.223,  0.227,  0.410,  0.334,  0.284,  0.028,  0.121,  2.450,  0.682,  0.472,  0.315,  2.274,  0.038,  0.027,  0.682,  0.007
208.000, 13.000, 42.924,  0.000,  1.361,  0.401,  0.279,  0.551,  0.499,  0.349,  0.043,  0.188,  4.602,  0.837,  0.806,  0.537,  2.790,  0.046,  0.045,  0.837,  0.014
208.000, 13.500, 38.367,  0.000,  1.237,  0.364,  0.253,  0.501,  0.453,  0.317,  0.037,  0.160,  4.282,  0.760,  0.718,  0.479,  2.532,  0.042,  0.041,  0.760,  0.013
208.000, 14.000, 33.249,  0.000,  1.159,  0.321,  0.256,  0.487,  0.425,  0.320,  0.036,  0.157,  3.653,  0.767,  0.654,  0.436,  2.557,  0.043,  0.037,  0.767,  0.011
208.000, 14.500, 37.157,  0.000,  1.244,  0.353,  0.267,  0.515,  0.456,  0.333,  0.039,  0.170,  4.030,  0.800,  0.717,  0.478,  2.666,  0.044,  0.040,  0.800,  0.012
208.000, 15.000, 40.015,  0.000,  1.307,  0.377,  0.275,  0.537,  0.479,  0.344,  0.042,  0.181,  4.299,  0.825,  0.763,  0.509,  2.751,  0.046,  0.042,  0.825,  0.013
208.000, 15.500, 26.811,  0.000,  1.027,  0.266,  0.242,  0.448,  0.377,  0.303,  0.032,  0.139,  2.977,  0.727,  0.555,  0.370,  2.425,  0.040,  0.031,  0.727,  0.009
208.000, 16.000, 35.697,  0.000,  1.217,  0.341,  0.265,  0.509,  0.446,  0.331,  0.039,  0.168,  3.860,  0.795,  0.696,  0.464,  2.651,  0.044,  0.039,  0.795,  0.012
208.000, 16.500, 32.657,  0.000,  1.159,  0.315,  0.261,  0.492,  0.425,  0.326,  0.037,  0.160,  3.537,  0.782,  0.651,  0.434,  2.606,  0.043,  0.036,  0.782,  0.011
208.000, 17.000, 15.838,  0.000,  0.785,  0.171,  0.214,  0.371,  0.288,  0.267,  0.024,  0.105,  1.786,  0.641,  0.382,  0.254,  2.138,  0.036,  0.021,  0.641,  0.005
208.000, 17.500, 23.349,  0.000,  0.951,  0.236,  0.234,  0.424,  0.349,  0.293,  0.030,  0.129,  2.582,  0.702,  0.501,  0.334,  2.341,  0.039,  0.028,  0.702,  0.008
208.000, 18.000,  7.676,  0.000,  0.610,  0.101,  0.195,  0.317,  0.224,  0.244,  0.019,  0.082,  0.877,  0.585,  0.256,  0.170,  1.951,  0.033,  0.014,  0.585,  0.003
208.000, 18.500, 11.914,  0.000,  0.701,  0.137,  0.205,  0.345,  0.257,  0.256,  0.022,  0.094,  1.349,  0.615,  0.321,  0.214,  2.051,  0.034,  0.018,  0.615,  0.004
208.000, 19.000,  0.265,  0.000,  0.458,  0.036,  0.181,  0.273,  0.168,  0.227,  0.015,  0.064,  0.031,  0.544,  0.144,  0.096,  1.814,  0.030,  0.008,  0.544,  0.000
208.000, 19.500,  0.000,  0.000,  0.455,  0.034,  0.182,  0.273,  0.167,  0.227,  0.015,  0.064,  0.000,  0.546,  0.141,  0.094,  1.818,  0.030,  0.008,  0.546,  0.000
208.000, 20.000,  0.000,  0.000,  0.443,  0.033,  0.177,  0.266,  0.162,  0.221,  0.014,  0.062,  0.000,  0.531,  0.137,  0.091,  1.771,  0.030,  0.007,  0.531,  0.000
208.000, 20.500,  0.000,  0.000,  0.451,  0.034,  0.180,  0.271,  0.165,  0.226,  0.015,  0.064,  0.000,  0.541,  0.140,  0.093,  1.804,  0.030,  0.008,  0.541,  0.000
208.000, 21.000,  0.000,  0.000,  0.396,  0.030,  0.158,  0.238,  0.145,  0.198,  0.012,  0.051,  0.000,  0.475,  0.118,  0.079,  1.584,  0.026,  0.007,  0.475,  0.000
208.000, 21.500,  0.000,  0.000,  0.440,  0.033,  0.176,  0.264,  0.162,  0.220,  0.014,  0.061,  0.000,  0.529,  0.136,  0.091,  1.762,  0.029,  0.007,  0.529,  0.000
208.000, 22.000,  0.000,  0.000,  0.330,  0.025,  0.132,  0.198,  0.121,  0.165,  0.009,  0.037,  0.000,  0.396,  0.093,  0.062,  1.318,  0.022,  0.005,  0.396,  0.000
208.000, 22.500,  0.000,  0.000,  0.357,  0.027,  0.143,  0.214,  0.131,  0.178,  0.010,  0.043,  0.000,  0.428,  0.103,  0.069,  1.428,  0.024,  0.006,  0.428,  0.000
208.000, 23.000,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan
208.000, 23.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    nan
209.000,  0.000,  0.000,  0.000,  0.295,  0.022,  0.118,  0.177,  0.108,  0.147,  0.007,  0.031,  0.000,  0.353,  0.080,  0.054,  1.178,  0.020,  0.005,  0.353,  0.000
209.000,  0.500,  0.000,  0.000,  0.332,  0.025,  0.133,  0.199,  0.122,  0.166,  0.009,  0.038,  0.000,  0.399,  0.094,  0.063,  1.330,  0.022,  0.006,  0.399,  0.000
209.000,  1.000,  0.000,  0.000,  0.269,  0.020,  0.108,  0.161,  0.099,  0.134,  0.006,  0.026,  0.000,  0.323,  0.071,  0.048,  1.075,  0.018,  0.004,  0.323,  0.000
209.000,  1.500,  0.000,  0.000,  0.286,  0.021,  0.115,  0.172,  0.105,  0.143,  0.007,  0.029,  0.000,  0.344,  0.078,  0.052,  1.145,  0.019,  0.005,  0.344,  0.000
209.000,  2.000,  0.000,  0.000,  0.273,  0.020,  0.109,  0.164,  0.100,  0.137,  0.006,  0.027,  0.000,  0.328,  0.073,  0.049,  1.092,  0.018,  0.005,  0.328,  0.000
209.000,  2.500,  0.000,  0.000,  0.270,  0.020,  0.108,  0.162,  0.099,  0.135,  0.006,  0.027,  0.000,  0.324,  0.072,  0.048,  1.080,  0.018,  0.004,  0.324,  0.000
209.000,  3.000,  0.000,  0.000,  0.267,  0.020,  0.107,  0.160,  0.098,  0.133,  0.006,  0.026,  0.000,  0.320,  0.071,  0.047,  1.066,  0.018,  0.004,  0.320,  0.000
209.000,  3.500,  0.000,  0.000,  0.267,  0.020,  0.107,  0.160,  0.098,  0.134,  0.006,  0.026,  0.000,  0.320,  0.071,  0.047,  1.068,  0.018,  0.004,  0.320,  0.000
209.000,  4.000,  0.000,  0.000,  0.249,  0.019,  0.100,  0.149,  0.091,  0.125,  0.005,  0.023,  0.000,  0.299,  0.065,  0.043,  0.996,  0.017,  0.004,  0.299,  0.000
209.000,  4.500,  0.000,  0.000,  0.260,  0.020,  0.104,  0.156,  0.095,  0.130,  0.006,  0.025,  0.000,  0.312,  0.069,  0.046,  1.041,  0.017,  0.004,  0.312,  0.000
209.000,  5.000,  2.267,  0.000,  0.300,  0.041,  0.104,  0.164,  0.110,  0.130,  0.006,  0.027,  0.340,  0.311,  0.098,  0.065,  1.036,  0.017,  0.006,  0.311,  0.001
209.000,  5.500,  0.771,  0.000,  0.265,  0.026,  0.100,  0.153,  0.097,  0.125,  0.006,  0.024,  0.117,  0.301,  0.076,  0.050,  1.004,  0.017,  0.005,  0.301,  0.000
209.000,  6.000,  8.741,  0.000,  0.471,  0.103,  0.128,  0.222,  0.173,  0.160,  0.010,  0.045,  1.220,  0.384,  0.205,  0.136,  1.279,  0.021,  0.013,  0.384,  0.004
209.000,  6.500,  9.196,  0.000,  0.464,  0.108,  0.121,  0.213,  0.170,  0.151,  0.010,  0.041,  1.353,  0.362,  0.204,  0.136,  1.205,  0.020,  0.013,  0.362,  0.004
209.000,  7.000, 19.290,  0.000,  0.778,  0.200,  0.185,  0.341,  0.285,  0.231,  0.021,  0.089,  2.355,  0.555,  0.398,  0.265,  1.851,  0.031,  0.023,  0.555,  0.007
209.000,  7.500, 18.457,  0.000,  0.713,  0.194,  0.160,  0.303,  0.261,  0.200,  0.017,  0.072,  2.449,  0.480,  0.362,  0.241,  1.601,  0.027,  0.022,  0.480,  0.007
